anio,mundial_1,mundial_2,espana_1,espana_2,fdc_destacado,imagen_fdc,personal_1,personal_1_tipo,personal_2,personal_2_tipo,imagen_1,imagen_2
1948,Declaración Universal de los Derechos Humanos.,Creación del Estado de Israel.,Juan Carlos de Borbón llega a España.,Reapertura de la frontera franco-española.,Centenario del primer Ferrocarril en España (Línea Barcelona-Mataró).,,,,,,,
1949,Fundación de la OTAN.,Proclamación de la República Popular China.,Firma de la ampliación del Pacto Ibérico.,Creación de RENFE.,75º Aniversario de la Unión Postal Universal (UPU).,,,,,,,
1950,Inicio de la Guerra de Corea.,Declaración Schuman (origen de la UE).,Fundación de la empresa SEAT.,Ingreso de España en la FAO.,Centenario del Sello Español (1850-1950).,,,,,,,
1951,Firma del Tratado de París (CECA).,Tratado de Paz de San Francisco.,Huelga de los tranvías en Barcelona.,Primeros contactos militares con EE.UU.,V Centenario del Nacimiento de Isabel la Católica.,,,,,,,
1952,Coronación de Isabel II del Reino Unido.,Primera bomba de hidrógeno.,Fin oficial del racionamiento de alimentos.,Inauguración del embalse del Ebro.,V Centenario del Nacimiento de Fernando el Católico.,,,,,,,
1953,Muerte de Iósif Stalin en la URSS.,Descubrimiento de la estructura del ADN.,Firma de los Acuerdos de Madrid con EE. UU.,Firma del Concordato con la Santa Sede.,Cincuentenario del primer vuelo a motor (Hermanos Wright).,,,,,,,
1954,Batalla de Dien Bien Phu.,Guerra de Independencia de Argelia.,Entrevista entre Franco y Juan de Borbón.,Primeras transmisiones de televisión.,Año Santo Compostelano.,,,,,,,
1955,Creación del Pacto de Varsovia.,Conferencia de Bandung.,Ingreso oficial de España en la ONU.,Apertura de la factoría de SEAT.,Ingreso de España en la Organización de las Naciones Unidas (ONU).,,,,,,,
1956,Crisis del Canal de Suez.,Revolución Húngara.,Inicio formal de las emisiones de TVE.,Independencia de Marruecos.,Centenario del nacimiento de Marcelino Menéndez Pelayo.,,,,,,,
1957,Firma de los Tratados de Roma (CEE).,Lanzamiento del Sputnik 1.,"Entrada de los ""tecnócratas"" al Gobierno.",Guerra de Ifni.,IV Centenario de la muerte del Emperador Carlos V.,,,,,,,
