fecha_iso,ancho_mm,alto_mm,categoria,serie
1980-10-03,230,162,mediano_grande,Exposición Filatélica de América y Europa. ESPAMER’80
1980-10-25,230,162,mediano_grande,Tapiz de la Creación. Gerona
1981-10-25,230,162,mediano_grande,El Guernica en España
1981-11-30,230,162,mediano_grande,Museo Postal. Madrid
1982-06-13,230,162,mediano_grande,Copa Mundial de Fútbol ESPAÑA’82
1984-04-27,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA’84
1985-10-18,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’85
1986-10-07,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’86 Córdoba
1987-03-18,235,155,mediano_grande,175 aniversario de la Constitución de 1812
1987-03-20,230,162,mediano_grande,Artesanía española
1987-10-02,250,190,mediano_grande,Exposición Filatélica de España y América. ESPAMER 87
1987-10-24,230,162,mediano_grande,Exposición Filatélica Nacional. EXFILNA ‘87
1987-10-30,230,162,mediano_grande,V Centenario del descubrimiento de América
1988-06-25,230,162,mediano_grande,Exposición Filatélica nacional. EXFILNA’88. Pamplona
1988-12-14,230,162,mediano_grande,Carlos III y la Ilustración
1989-05-20,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’89. Toledo
1989-12-20,230,165,mediano_grande,Patrimonio Artístico Nacional
1990-05-18,250,190,mediano_grande,Artesanía española. Hierro
1990-05-25,230,160,mediano_grande,Exposición Filatélica Nacional EXFILNA’90. Zaragoza
1990-06-22,230,160,mediano_grande,Exposición de Filatelia Temática. FILATEM’90. Palencia
1990-11-28,250,190,mediano_grande,Patrimonio Artístico Nacional. Tapices
1991-04-19,228,162,mediano_grande,Granada’92. V Centenario de la fundación de Santa Fe
1991-05-03,249,188,mediano_grande,Patrimonio Artístico Nacional. Porcelana
1991-09-09,249,188,mediano_grande,Artesanía española. Muebles
1991-12-12,228,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’91
1992-03-31,250,190,mediano_grande,V Centenario del descubrimiento de América
1992-04-20,250,190,mediano_grande,Exposición Universal de Sevilla. EXPO’92
1992-04-21,230,160,mediano_grande,Exposición Universal de Sevilla. EXPO’92
1992-04-24,230,160,mediano_grande,Exposición Mundial de Filatelia. Granada ‘92
1992-05-22,230,160,mediano_grande,Colón y el Descubrimiento
1992-07-25,230,160,mediano_grande,Juegos de la XXV Olimpiada Brcelona’92
1992-10-09,230,160,mediano_grande,Exposición Filatélica Nacional EXFILNA’92. Valladolid
1992-12-10,249,190,mediano_grande,Patrimonio Artístico Nacional. Códices
1993-04-02,228,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’93. Alcañiz
1993-05-18,228,162,mediano_grande,Compostela’93
1994-02-25,228,162,mediano_grande,Minerales de España
1994-07-01,228,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’94. Las Palmas de Gran Canaria
1994-10-27,248,190,mediano_grande,Deportes. Olímpicos de Oro
1995-01-30,228,162,mediano_grande,Exposición de Filatelia Temática FILATEM’95
1995-04-07,250,190,mediano_grande,Barcos de época
1995-06-02,250,190,mediano_grande,Deportes Olímpicos de Plata
1995-09-05,228,162,mediano_grande,17 Conferencia Internacional de Cartografía
1995-10-06,228,162,mediano_grande,Exposición Filatélica Nacional EXFILNA ’95. Málaga
1995-10-27,228,162,mediano_grande,Pintura española. Antonio María Esquivel
1996-04-19,250,190,mediano_grande,Barcos de época
1996-04-26,250,190,mediano_grande,"Deportes, Olímpicos de bronce"
1996-05-04,250,190,mediano_grande,ESPAMER’96. Sevilla
1996-05-04,250,190,mediano_grande,ESPAMER’96 y Aviación y Espacio’96 Sevilla
1996-10-11,228,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’96. Vitoria
1996-12-05,250,190,mediano_grande,Mapa Oficial del Estado Autonómico
1997-04-18,250,190,mediano_grande,Barcos de época
1997-06-13,250,190,mediano_grande,Las Edades del Hombre
1997-10-04,229,162,mediano_grande,Exposición Filatélica Nacional EXFILNA’97 Gijón
1998-09-16,230,160,mediano_grande,Exposición Filatélica Nacional EXFILNA’98. Barcelona
1998-09-25,250,190,mediano_grande,Correspondencia epistolar escolar. Dibujos de Mingote
1998-11-11,230,160,mediano_grande,La Seo de San Salvador de Zaragoza
1998-12-29,230,160,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000. Caballos cartujanos
1999-04-09,230,160,mediano_grande,Exposición Filatélica Nacional EXFILNA ’99. Zaragoza
1999-05-28,250,190,mediano_grande,Países del Euro
1999-06-18,230,162,mediano_grande,FILATEM-Universiada Palma 1999
1999-10-13,250,190,mediano_grande,Correspondencia Epistolar Escolar
1999-11-03,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Obras del pintor José Manuel Gómez. Cartel de España 2000 y Logotipo de la Exposición
2000-01-03,250,190,mediano_grande,150 Aniversario del primer sello español
2000-02-24,230,160,mediano_grande,500 años del nacimiento de Carlos V
2000-06-16,230,160,mediano_grande,Exposición Filatélica Nacional EXFILNA 2000. Avilés
2000-07-14,250,190,mediano_grande,V Centenario de la Carta de Juan de la Cosa
2000-07-28,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000
2000-09-22,250,190,mediano_grande,Correspondencia epistolar escolar
2000-10-06,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Música. Alejandro Sanz
2000-10-06,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Música. Julio Iglesias
2000-10-07,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Cine. Antonio Banderas
2000-10-08,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Moda. Jesús del Pozo
2000-10-09,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Deporte. Miguel Indurain
2000-10-09,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Deporte. Raul González
2000-10-10,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Baile. Joaquín Cortés
2000-10-10,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2000 Baile. Sara Baras
2000-10-11,230,162,mediano_grande,"Exposición Mundial de Filatelia ESPAÑA 2000 Televisión. Chicho Ibáñez Serrador, Emilio Aragón y Bertín Osborne"
2000-10-12,230,162,mediano_grande,"Exposición Mundial de Filatelia ESPAÑA 2000 Radio. Iñaki Gabilondo, Nieves Herrero, Luis del Olmo y Luis Herrero"
2000-10-13,230,162,mediano_grande,"Exposición Mundial de Filatelia ESPAÑA 2000 Prensa. Carlos Romero, Mingote, Gallego y Rey, Tony y Jesús Zulet"
2001-09-21,230,162,mediano_grande,Exposición Filatélica nacional EXFILNA 2001. Vigo
2001-10-19,250,190,mediano_grande,Correspondencia Epistolar Escolar
2001-10-25,230,162,mediano_grande,Toros. Curro Romero
2001-11-30,250,190,mediano_grande,Patrimonio Mundial de la Humanidad
2001-12-11,250,190,mediano_grande,150 años del Ministerio de Fomento. Programa de Infraestructuras
2001-12-14,230,162,mediano_grande,25 Aniversario del Reinado de s. M. Juan Carlos I
2002-02-20,230,162,mediano_grande,La flor y el paisaje. Eduardo Naranjo
2002-02-22,230,162,mediano_grande,Exposición Mundial de Filatelia Juvenil. España 2002
2002-02-26,230,162,mediano_grande,Exposición Filatélica Hispano-Portuguesa PHILAIBERIA 2002. Tarazona
2002-05-11,250,192,mediano_grande,Juegos Ecuestres Mundiales. Campeonato del Mundo de Hípica Jerez de la Frontera
2002-06-07,250,192,mediano_grande,Exposición Filatélica Nacional EXFILNA 2002. Salamanca
2002-09-27,250,192,mediano_grande,Correspondencia epistolar escolar
2002-11-08,250,192,mediano_grande,Patrimonio Mundial
2002-11-18,230,162,mediano_grande,"Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 Cine. Francisco Rabal, Iciar Bollaín y Julio Medem"
2002-11-19,230,162,mediano_grande,"Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 TV. Cuéntame cómo pasó, Un Paso adelante y 7 Vidas"
2002-11-20,230,162,mediano_grande,Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 Corresponsales de prensa. Diarios de mayor difusión
2002-11-21,230,162,mediano_grande,"Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 Programas de Radio. El Tirachinas, 40 Principales, Onda Cero Noticias y Clásicos Populares"
2002-11-22,230,162,mediano_grande,"Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 Deportes. Pedro Delgado, Paco Gento, Carlos Sáinz e I. U."
2002-11-23,230,162,mediano_grande,Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 Música. No a la Piratería
2002-11-24,230,162,mediano_grande,"Exposición Mundial de Filatelia Juvenil ESPAÑA 2002 El capitán Alatriste, personaje de Arturo Pérez Reverte"
2002-11-27,230,162,mediano_grande,Arte español. Vidriera de la Catedral de Vitoria
2003-03-21,230,162,mediano_grande,"II Centenario de la Escuela de Ingenieros de Caminos, Canales y Puertos de Madrid"
2003-03-28,230,162,mediano_grande,Paisajes. Obras del pintor Chico Montilla
2003-04-07,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2003. Granada
2003-05-23,230,162,mediano_grande,X Campeonato del Mundo de Natación. Barcelona’03
2003-06-27,230,162,mediano_grande,Cien años del Real Automóvil Club de España RACE
2003-06-28,230,162,mediano_grande,La mujer y las flores. Obras de Alfredo Roldán
2003-09-26,230,162,mediano_grande,Vidrieras de la Catedral de Santa María de León
2003-10-01,230,162,mediano_grande,Centenario de la Real Sociedad Geográfica
2003-11-14,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004
2003-11-24,230,162,mediano_grande,Plan Magna. Mapa Geológico Nacional
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española De los Derechos y Deberes Fundamentales Miguel Torner
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española De la Corona A. Campagnucci
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española De las Cortes Generales Enrique Jiménez Carrero
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española Del gobierno y la Administración Fesarpe
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española De las Relaciones del Gobierno y las Cortes Generales Goyo Dominguez
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española Del Poder Judicial Juan Bautista Nieto
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española Economía y Hacienda Rafael Seco Humbrías
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española De la Organización Territorial del Estado Araceli Alarcón
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española Del Tribunal Constitucional Enrique Jiménez Carrero
2003-12-05,230,162,mediano_grande,XXV Aniversario de la Constitución Española De la Reforma Constitucional Galicia
2004-01-16,230,162,mediano_grande,El románico aragonés Xacobeo 2004
2004-01-23,230,162,mediano_grande,La mujer y la lectura. Obras de Fabio Hurtado
2004-02-10,250,190,mediano_grande,Correspondencia epistolar escolar Ilustraciones del comic Trazo de Tiza
2004-03-08,230,162,mediano_grande,Monasterio de Santa María de Carracedo
2004-03-31,250,190,mediano_grande,Patrimonio Nacional. Relojes
2004-04-07,230,162,mediano_grande,Indumentarias. El mantón
2004-05-23,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004. Valencia Música
2004-05-24,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004. Valencia Monarquía
2004-05-25,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004. Valencia Juan Carlos I
2004-05-26,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004. Valencia Fiestas populares
2004-05-27,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004. Valencia Deportes
2004-05-28,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2004. Valencia Valencia la ciudad del Mar
2004-07-22,250,190,mediano_grande,Cerámica Antonio Miguel González
2004-10-01,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2004. Valladolid
2004-12-02,230,162,mediano_grande,Vidrieras de la Catedral de Toledo
2005-01-03,250,190,mediano_grande,El circo. Obras de Manolo Élices
2005-02-14,250,190,mediano_grande,Para los niños. Canciones y cuentos populares Ilustraciones de Raquel Fariñas
2005-04-22,230,162,mediano_grande,IV Centenario de la publicación de El Quijote
2005-05-09,250,190,mediano_grande,Patrimonio Nacional. Abanicos
2005-06-20,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2005. Alicante
2005-09-16,250,190,mediano_grande,Para los niños. Los Lunnis
